user,text,time
@renfoundheaven,starbucks is not even on BDS list… why does no one do any research of their own? you can tell who is being performative for clicks… boycott them bc they treat their union workers like garbage and maybe not call ppl who work at/drink starbucks genocide supporters???,2024-05-10T23:22:04.000Z
@SadiqDorasat,The @PureGym leadership won’t be taking this reaction lightly. Just need to look at Starbucks and their tanking in share price to see the power of boycotting,2024-05-10T15:47:36.000Z
@selanari_swift,"Billie Eilish went to Starbucks after wearing a pro Palestine pin at the Grammies and no one batted an eye, Gigi Hadid who’s Palestinian herself has been seen with a Starbucks and no one cared , Starbucks isn’t on the boycott list either!! Why don’t yall admit you hate Selena",2024-05-04T16:58:00.000Z
@iamaryamh,"My dear brothers , sisters, friends, and followers ATTENTION PLEASE Many of you don’t know that many brands are in support of Israel boycotting them will create loss to their business many Starbucks branches have shut. Let’s start a boycott campaign join the act #boycott",2024-05-05T16:09:06.000Z
@LouAnonAnon,Making lists like this is more harmful to Palestine than Timothée Chalamet holding a Starbucks cup,2024-05-11T14:27:42.000Z
@mimistarved,"guys I’m really confused, is Starbucks really supporting isreal or not",2024-05-11T17:05:52.000Z
@valleyboyboy,"Please help me. If you supported me when I was walking out of Starbucks on strike, why can't you be here for me now? I am dying of poverty as a result of being fired by them. Everybody cared then. Now I'm dying and nobody cares. Venmo, etc - valleyboyboy",2024-05-11T15:36:11.000Z
@lara07w,“boycotting starbucks does nothing” that’s why ur still fat,2024-05-11T10:10:21.000Z
@RmSalih,We have been great at boycotting McDonald's and Starbucks and Pure Gym is next. Which other Israeli-supporting companies must we boycott?,2024-05-10T11:30:57.000Z
@Kandy2021,"A lot of people take the piss out of Tim Hortons & usually that’s fair, their food is mid & their coffee is just okay. But no other coffee shop would have the balls to do something like this & this is why I love Tim Hortons. Starbucks would never, Dunkin Who!?",2024-05-10T18:07:32.000Z
@ReyHeartsCats_,Stop drinking Starbucks and start buying from local cafes. #FreePalenstine,2024-05-09T06:24:56.000Z
@Mako_Ch4n,╭──★..───★..───.★..─╮ Holding Cup of Starbucks Coffee ╰─..★.────★..───★..─╯ ╰┈➤♡ᵃⁿᵈᵃⁿᵈ #AIイラスト #AIイラスト好きと繋がりたい #拡散RP希望 #フォロバ100 #5月のVTuberフォロー祭り︎,2024-05-11T03:04:50.000Z
@bigtimeEST,I've just cancelled my PureGym membership after 4 years. Not supporting a company with a CEO who supports genocide and ethnic cleansing. Hope you're ready for the economic loss that Starbucks has had over the last several months @PureGym Free Palestine.,2024-05-11T12:09:33.000Z
@deliasalcido,Starbucks losing 37.7 billion dollars in earning since October is so hilarious. I love seeing corporations get what they deserve. Oh and their stock is down 15% I’m never going there again!,2024-05-07T17:00:47.000Z
@Morse4Maryland,"Congratulations to @SBWorkersUnited on their victory! As a union lawyer, I know what it’s like to go up against corporate interests, to fight back, and to win. Today and everyday, our campaign remains committed to the workers who make Starbucks—and the world—run. #mdpolitics",2024-05-09T13:34:53.000Z
@PartTimeKitty1,any huggy wuggy fans out there? (slightly old art-),2024-05-11T01:39:24.000Z
@simoneumba,I need y’all to stop making this lady trend. She isn’t going to magically change her mind seven months later. She’s doing monthly starbucks pap walks for gods sake. Let these zionists show themselves and keep it pushing.,2024-05-08T03:17:26.000Z
@SarcasticCupcak,"Biden to the person no longer buying Chips Ahoy cookies, Starbucks coffee, etc.: ""Look here, fat...inflation is a good weight reduction plan....""",2024-05-07T03:33:05.000Z
@placeinwayf,friendly reminder that when you’re camping for Luke’s shows we are STILL BOYCOTTING!!!! you do not need starbucks or McDonald’s there are better foods and drinks you can get around almost all venues. camp in groups and have one stay while one or more goes to get food!,2024-05-10T21:25:27.000Z
@CBSNews,"You'll never guess what happened when an act of kindness from a Starbucks barista one morning took an unexpected turn for the barista. Now, she wants your help finding the customer so she can thank her in person. CBS News' @DavidBegnaud reports. https://cbsn.ws/3UQC8Bt",2024-05-09T07:00:00.000Z
@venusasaboyyyyy,getting starbucks cuz they have boba now is just sad and pathetic!,2024-05-10T06:46:53.000Z
@BlueRepublik,Don’t like Hamas? Like Starbucks? You too might be a genocide apologist!,2024-05-11T13:11:23.000Z
